IMDBID;TITLE;YEAR;GENRE;DIRECTOR;WRITER;ACTORS;IMDBRATING;IMDBVOTES;METASCORE;BOXOFFICE;RELEASED;RUNTIME;LANGUAGE;COUNTRY;RATED;AWARDS;META_CRITIC_RATING;ROTTEN_TOMATOES_RATING
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
tt3877674;Men & Chicken;2015;Comedy, Drama, Mystery;Anders Thomas Jensen;Anders Thomas Jensen;David Dencik, Mads Mikkelsen, Nikolaj Lie Kaas;6.7;14,882;64;$30,207;05 Feb 2015;104 min;Danish;Denmark, Germany;Not Rated;10 wins & 8 nominations total;64/100;
tt4215332;Barbie in Princess Power;2015;Animation, Family, Fantasy;Ezekiel Norton;Marsha F. Griffin;Kelly Sheridan, Britt Irvin, Michael Kopsa;5.3;1,283;;;03 Mar 2015;73 min;English;United States;TV-Y;1 win & 2 nominations total;;
tt3713030;I Am Michael;2015;Biography, Drama, Romance;Justin Kelly;Justin Kelly, Stacey Miller, Benoit Denizet Lewis;James Franco, Zachary Quinto, Emma Roberts;5.6;5,950;56;;27 Jan 2017;98 min;English;United States;Not Rated;8 wins & 3 nominations;56/100;62%
tt4255626;I Kissed a Girl;2015;Comedy, Romance;Maxime Govare, Noémie Saglio;Maxime Govare, Noémie Saglio;Pio Marmaï, Franck Gastambide, Adriane Gradziel;5.9;1,934;;;28 Jan 2015;98 min;French;France;;2 wins;;
tt2545428;Meru;2015;Documentary, Sport;Jimmy Chin, Elizabeth Chai Vasarhelyi;;Conrad Anker, Grace Chin, Jimmy Chin;7.7;19,645;77;$2,334,228;14 Aug 2015;90 min;English;United States, India;R;4 wins & 14 nominations;77/100;88%
tt3907858;Ever Been to the Moon?;2015;Comedy, Romance;Paolo Genovese;Pietro Calderoni, Paolo Genovese, Gualtiero Rosella;Raoul Bova, Sabrina Impacciatore, Sergio Rubini;6.2;2,261;;;22 Jan 2015;90 min;Italian;Italy;;1 win & 1 nomination;;
tt3233418;Spare Parts;2015;Biography, Drama, History;Sean McNamara;Joshua Davis, Elissa Matsueda;George Lopez, Jamie Lee Curtis, Carlos PenaVega;7.2;12,049;50;$3,618,912;05 Jun 2015;114 min;English, Spanish;United States, Mexico;PG-13;2 wins & 2 nominations;50/100;58%
tt4135218;Cyberbully;2015;Crime, Drama, Mystery;Ben Chanan;Ben Chanan, David Lobatto;Maisie Williams, Ella Purnell, Wilson Haagens;6.7;8,027;;;15 Jan 2015;62 min;English;United Kingdom;;Nominated for 1 BAFTA Award1 win & 5 nominations total;;
tt3344922;Hungry Hearts;2014;Drama, Romance, Thriller;Saverio Costanzo;Saverio Costanzo, Marco Franzoso, Daniela Merlo;Adam Driver, Alba Rohrwacher, Roberta Maxwell;6.5;5,994;48;$6,921;15 Jan 2015;109 min;English;Italy;Unrated;7 wins & 19 nominations;48/100;65%
tt3086386;The Scorpion King 4: Quest for Power;2015;Action, Adventure, Fantasy;Mike Elliott;Michael D. Weiss;Victor Webster, Ellen Hollman, Will Kemp, Barry Bostwick;4.1;3,077;;;06 Jan 2015;105 min;English;USA;PG-13;1 win.;;
