metascore,rotten_tomatoes_rating,meta_critic_rating,budget,metascore_missing,rotten_tomatoes_rating_missing,meta_critic_rating_missing,budget_missing,total_wins,total_noms,oscar_wins,oscar_noms,bafta_wins,bafta_noms,release_date,release_year,release_month,release_day,is_weekend,is_holiday_season,movie_age,production_country_name,spoken_languages,first_billing_actor,second_billing_actor,third_billing_actor,main_director,main_writer,secondary_writer,imdb_rating,imdb_votes,title,tmdb_vote_count,tmdb_vote_average,genre_names,runtime_in_min,tmdb_popularity,production_company_name,age_rating
55.0,76.0,55.0,13419337.178085232,0,0,0,1,1,0,0,0,0,0,1987-02-27,1987,2,27,1,0,38,United States of America,English,Eric Stoltz,Mary Stuart Masterson,Lea Thompson,Howard Deutch,John Hughes,Missing_data,7.0,35632.0,Some Kind of Wonderful,476,6.864,"Drama, Romance",95.0,12.837,"Hughes Entertainment, Paramount Pictures",PG-13
43.0,50.0,43.0,25000000.0,0,0,0,0,0,2,0,0,0,0,2000-08-24,2000,8,24,0,0,25,United States of America,"Spanish,English,Italian",Morgan Freeman,Gene Hackman,Thomas Jane,Stephen Hopkins,John Wainwright,Claude Miller,6.4,28123.0,Under Suspicion,464,6.094,"Thriller, Crime, Drama",110.0,10.599,"TF1 International, Revelations Entertainment",R
50.0,22.0,50.0,35000000.0,0,0,0,0,0,2,0,0,0,0,2005-10-07,2005,10,7,1,0,20,United States of America,English,Matthew McConaughey,Al Pacino,Rene Russo,D.J. Caruso,Dan Gilroy,Missing_data,6.2,49304.0,Two for the Money,647,6.046,"Comedy, Crime, Drama, Thriller",122.0,9.451,"Morgan Creek Entertainment, Universal Pictures",R
36.0,17.0,36.0,8000000.0,0,0,0,0,0,0,0,0,0,0,2024-05-01,2024,5,1,0,0,1,United States of America,English,Harriet Slater,Adain Bradley,Jacob Batalon,Spenser Cohen,Spenser Cohen,Anna Halberg,4.8,29310.0,Tarot,1113,6.5,Horror,92.0,49.017,"Screen Gems, Alloy Entertainment, Ground Control Entertainment, Capstone Pictures",PG-13
31.0,14.116717226673396,31.0,35000000.0,0,1,0,0,0,3,0,0,0,0,2005-02-25,2005,2,25,1,0,20,"Germany,United States of America",English,Christina Ricci,Jesse Eisenberg,Portia de Rossi,Wes Craven,Kevin Williamson,Missing_data,5.1,35939.0,Cursed,706,5.425,"Horror, Comedy",99.0,29.28,"Kalis Productions GmbH & Co. Zweite KG, Craven-Maddalena Films, Outerbanks Entertainment, Dimension Films",PG-13
70.0,81.0,70.0,5000000.0,0,0,0,0,5,13,5,0,0,0,1972-12-01,1972,12,1,1,1,53,United States of America,English,Gene Hackman,Ernest Borgnine,Shelley Winters,Ronald Neame,Paul Gallico,Stirling Silliphant,7.1,50288.0,The Poseidon Adventure,896,7.1,"Adventure, Drama, Thriller",117.0,15.787,"Kent Productions, 20th Century Fox",PG
50.0,52.0,50.0,110000000.0,0,0,0,0,0,5,0,0,0,0,2004-04-02,2004,4,2,1,0,21,United States of America,"Others,English",Judi Dench,Cuba Gooding Jr.,Jennifer Tilly,Will Finn,Will Finn,John Sanford,5.4,27051.0,Home on the Range,2058,6.061,"Animation, Family",76.0,32.882,"Walt Disney Pictures, Walt Disney Feature Animation",PG
84.0,89.0,84.0,17000000.0,0,0,0,0,24,78,0,0,24,1,2017-11-08,2017,11,8,0,1,8,"France,United Kingdom",English,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,Lynne Ramsay,Lynne Ramsay,Jonathan Ames,6.7,130489.0,You Were Never Really Here,2814,6.5,"Crime, Drama, Thriller",89.0,23.391,"Why Not Productions, Film4 Productions, BFI",R
64.0,76.80790004133236,64.0,11500000.0,0,1,0,0,2,2,0,0,0,0,2008-12-19,2008,12,19,1,1,17,United States of America,English,Kate Beckinsale,Matt Dillon,Vera Farmiga,Rod Lurie,Rod Lurie,Missing_data,7.1,40361.0,Nothing But the Truth,489,6.9,"Drama, Thriller",108.0,9.755,"Battleplan Productions, Yari Film Group",R
49.0,54.0,49.0,40000000.0,0,0,0,0,0,0,0,0,0,0,2011-01-13,2011,1,13,0,0,14,United States of America,English,Jason Statham,Ben Foster,Donald Sutherland,Simon West,Richard Wenk,Lewis John Carlino,6.5,176490.0,The Mechanic,3291,6.521,"Action, Thriller, Crime",93.0,35.037,"CBS Films, Nu Image, Millenium Films, Chartoff-Winkler Productions",R
