ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
993710;[28, 35];2025-01-15;866;6.611;Back in Action
1156593;[10749, 18];2024-12-26;1020;7.128;Your Fault
1097549;[18];2024-12-25;416;5.75;Babygirl
426063;[27, 14];2024-12-25;1986;6.662;Nosferatu
939243;[28, 878, 35, 10751];2024-12-19;1644;7.8;Sonic the Hedgehog 3
762509;[12, 10751, 16];2024-12-18;982;7.431;Mufasa: The Lion King
539972;[28, 12, 53];2024-12-11;1133;6.614;Kraven the Hunter
1061699;[18, 10752, 36];2024-12-06;403;7.581;The Six Triple Eight
1005331;[53, 28];2024-12-05;1876;6.917;Carry-On
839033;[16, 14, 12, 10751, 28];2024-12-05;410;6.6;The Lord of the Rings: The War of the Rohirrim
1234811;[10749, 35, 18];2024-11-27;472;6.266;Our Little Secret
1241982;[16, 12, 10751, 35];2024-11-21;1377;7.2;Moana 2
402431;[18, 10749, 14];2024-11-20;1687;6.9;Wicked
1035048;[28, 878, 53];2024-11-07;490;6.4;Elevation
558449;[28, 12, 18];2024-11-05;2746;6.756;Gladiator II
1013850;[35, 18];2024-11-01;401;6.869;A Real Pain
1138194;[27, 53];2024-10-31;1060;7.172;Heretic
845781;[28, 14, 35, 12];2024-10-31;2262;7.1;Red One
1106739;[80, 18];2024-10-30;1401;6.794;Juror #2
827931;[27, 878, 53];2024-10-29;426;5.665;Time Cut
974576;[18, 9648, 53];2024-10-25;1141;7.1;Conclave
1063877;[27, 53];2024-10-24;723;6.379;Don't Move
1091181;[12, 35, 14, 28];2024-10-22;395;5.589;Family Pack
912649;[28, 878, 12];2024-10-22;2747;6.8;Venom: The Last Dance
1100782;[27, 9648];2024-10-16;1285;6.6;Smile 2
959604;[10749, 80, 18];2024-10-16;539;7.3;Beating Hearts
1064213;[18, 35, 10749];2024-10-14;976;7.1;Anora
1100099;[10749, 18, 35];2024-10-10;623;7.4;We Live in Time
976734;[28, 53, 80];2024-10-10;365;6.3;Canary Black
1182047;[36, 18];2024-10-09;447;6.9;The Apprentice
1034541;[27, 53];2024-10-09;1445;6.9;Terrifier 3
1118031;[18, 28, 27];2024-10-04;911;6.8;Apocalypse Z: The Beginning of the End
835113;[80, 18, 53];2024-10-03;660;6.4;Woman of the Hour
748230;[27];2024-10-03;448;6.1;Salem's Lot
889737;[18, 80, 53];2024-10-01;2142;5.505;Joker: Folie à Deux
1125510;[878, 27, 53];2024-09-27;1086;5.561;The Platform 2
592831;[878, 18];2024-09-25;660;5.263;Megalopolis
877817;[35, 28, 80];2024-09-20;967;6.546;Wolfs
1184918;[16, 878, 10751];2024-09-12;4267;8.3;The Wild Robot
748167;[878, 12, 28];2024-09-12;711;5.8;Uglies
1114513;[27, 53];2024-09-11;1269;7.3;Speak No Evil
698687;[16, 878, 12, 10751];2024-09-11;1068;8.103;Transformers One
933260;[27, 878, 35];2024-09-07;3748;7.137;The Substance
917496;[35, 14, 27];2024-09-04;2284;7.072;Beetlejuice Beetlejuice
1087822;[14, 27, 28];2024-08-29;354;5.3;Hellboy: The Crooked Man
823219;[16, 14, 12];2024-08-29;1087;8.3;Flow
646097;[80, 28, 53, 18];2024-08-27;1187;6.978;Rebel Ridge
1029281;[80, 27, 53];2024-08-22;374;6.937;Strange Darling
970347;[28, 53, 80];2024-08-22;364;6.4;The Killer
974950;[18, 53];2024-08-21;1183;7.114;Emilia Pérez
957452;[28, 14, 27];2024-08-21;936;5.849;The Crow
840705;[9648, 53];2024-08-21;1230;6.695;Blink Twice
930600;[27, 53];2024-08-16;458;6.1;The Deliverance
1064028;[878, 53];2024-08-15;602;6.679;Subservience
704239;[28, 35];2024-08-15;934;6.171;The Union
1094138;[35, 28];2024-08-13;635;6.4;Jackpot!
945961;[27, 878];2024-08-13;3255;7.2;Alien: Romulus
1079091;[18, 10749];2024-08-07;1397;7.106;It Ends with Us
365177;[28, 878, 35];2024-08-07;1002;5.7;Borderlands
1059064;[80, 35, 28];2024-08-02;439;6.2;The Instigators
1032823;[80, 27, 9648, 53];2024-07-31;1901;6.4;Trap
533535;[28, 35, 878];2024-07-24;6649;7.631;Deadpool & Wolverine
1216191;[27, 9648];2024-07-19;373;6.676;Oddity
1048241;[28, 35];2024-07-18;363;6.7;My Spy The Eternal City
974262;[14, 12, 10751, 35];2024-07-11;392;6.872;Descendants: The Rise of Red
1226578;[80, 27, 53];2024-07-10;1762;6.598;Longlegs
956842;[10749, 35];2024-07-10;790;6.9;Fly Me to the Moon
718821;[28, 53];2024-07-10;2187;6.9;Twisters
1023922;[27, 9648, 53];2024-07-04;966;6.339;MaXXXine
1084736;[28, 12, 18];2024-06-28;1386;8.1;The Count of Monte Cristo
987686;[10749, 35];2024-06-27;595;5.782;A Family Affair
932086;[37, 18];2024-06-26;447;7.0;Horizon: An American Saga - Chapter 1
762441;[27, 878, 53];2024-06-26;2503;6.8;A Quiet Place: Day One
704673;[28];2024-06-20;507;5.737;Trigger Warning
519182;[16, 10751, 35, 878];2024-06-20;2516;7.061;Despicable Me 4
280180;[28, 35, 80];2024-06-20;1177;6.698;Beverly Hills Cop: Axel F
1008409;[80, 18];2024-06-19;794;6.737;The Bikeriders
1022789;[16, 12, 35, 10751];2024-06-11;5496;7.6;Inside Out 2
1086747;[14, 27, 9648];2024-06-06;1159;6.458;The Watchers
573435;[28, 35, 80, 53, 12];2024-06-05;2718;7.4;Bad Boys: Ride or Die
1001311;[28, 27];2024-06-04;1239;5.954;Under Paris
1029955;[18, 35];2024-05-30;902;6.572;Kinds of Kindness
614933;[878, 28];2024-05-23;1322;6.764;Atlas
786892;[28, 878, 12];2024-05-22;3864;7.502;Furiosa: A Mad Max Saga
974635;[35, 10749, 80];2024-05-16;1158;6.834;Hit Man
1010600;[27, 53];2024-05-15;460;5.778;The Strangers: Chapter 1
653346;[878, 12, 28];2024-05-08;3535;7.098;Kingdom of the Planet of the Apes
639720;[35, 14, 10751];2024-05-08;1251;7.107;IF
858017;[18, 27];2024-05-03;401;6.1;I Saw the TV Glow
843527;[10749, 18, 35];2024-05-02;1593;7.405;The Idea of You
719221;[27];2024-05-01;1109;6.507;Tarot
748783;[16, 35, 10751, 12];2024-04-30;1192;7.1;The Garfield Movie
882059;[80, 53, 28];2024-04-24;617;6.8;Boy Kills World
746036;[28, 35, 10749];2024-04-24;2725;7.062;The Fall Guy
934632;[878, 28];2024-04-19;1230;6.1;Rebel Moon - Part Two: The Scargiver
1152014;[35];2024-04-18;680;7.135;A Little Something Extra
937287;[10749, 18];2024-04-18;1997;6.97;Challengers
799583;[28, 35, 10752];2024-04-18;1338;7.084;The Ministry of Ungentlemanly Warfare
1111873;[27, 53];2024-04-16;1371;6.78;Abigail
1051896;[28, 27, 53, 878];2024-04-12;593;6.132;Arcadian
998846;[10402, 36, 18];2024-04-11;540;6.684;Back to Black
929590;[10752, 28, 18];2024-04-10;3251;6.9;Civil War
1127166;[10749, 18];2024-04-03;827;6.5;The Tearsmith
560016;[28, 53];2024-04-03;1040;6.916;Monkey Man
437342;[27];2024-04-03;1015;6.848;The First Omen
984324;[28];2024-03-28;448;6.223;The Wages of Fear
823464;[28, 12, 878];2024-03-27;4047;7.118;Godzilla x Kong: The New Empire
978592;[9648, 53, 80, 18];2024-03-21;351;7.054;Sleeping Dogs
1041613;[27, 9648, 53];2024-03-20;1340;6.229;Immaculate
967847;[14, 12, 35];2024-03-20;1692;6.514;Ghostbusters: Frozen Empire
938614;[27];2024-03-19;1360;7.178;Late Night with the Devil
618588;[12, 18];2024-03-15;739;7.6;Arthur the King
1019420;[10749, 35, 14];2024-03-14;442;6.204;Irish Wish
359410;[28, 53];2024-03-08;2408;6.9;Road House
1022690;[35];2024-03-07;625;6.519;Ricky Stanicky
948549;[10749, 80, 53];2024-03-07;693;6.558;Love Lies Bleeding
763215;[14, 28, 12];2024-03-07;2326;7.03;Damsel
1125311;[27, 9648];2024-03-06;538;5.999;Imaginary
1011985;[16, 10751, 28, 35];2024-03-02;2946;7.081;Kung Fu Panda 4
932420;[878, 28, 80];2024-02-27;594;6.371;Code 8 Part II
693134;[878, 12];2024-02-27;6221;8.2;Dune: Part Two
1139566;[10749, 18, 35];2024-02-23;579;7.0;Through My Window 3: Looking at You
975773;[35, 18, 9648];2024-02-23;432;7.0;Wicked Little Letters
636706;[878, 12, 18];2024-02-23;848;6.731;Spaceman
957304;[35, 80];2024-02-22;407;5.4;Drive-Away Dolls
838209;[9648, 27, 53];2024-02-22;460;7.5;Exhuma
802219;[10402, 36, 18];2024-02-14;799;6.725;Bob Marley: One Love
634492;[28, 14];2024-02-14;2093;5.4;Madame Web
969492;[28, 10752, 53];2024-02-09;1205;7.3;Land of Bad
1014590;[10749, 35];2024-02-07;857;7.22;Upgraded
993784;[35, 27, 10749];2024-02-07;408;6.3;Lisa Frankenstein
1139829;[16, 10751, 35, 14];2024-02-01;531;6.562;Orion and the Dark
848538;[28, 12, 35];2024-01-31;1410;6.1;Argylle
933131;[878, 28];2024-01-25;719;6.7;Badland Hunters
1212073;[28, 12, 80, 18];2024-01-19;574;6.762;Sixty Minutes
1052280;[35, 9648, 878];2024-01-19;509;6.4;It's What's Inside
1096197;[53, 27, 28];2024-01-18;987;6.3;No Way Up
1026436;[53, 35, 18];2024-01-18;748;6.422;Miller's Girl
955916;[28, 35, 80];2024-01-12;1271;6.5;Lift
758679;[53, 18];2024-01-11;449;6.9;Mothers' Instinct
673593;[35];2024-01-10;584;5.9;Mean Girls
626412;[28, 14, 12];2024-01-10;679;6.648;Alienoid: Return to the Future
866398;[80, 28, 53];2024-01-08;3341;7.3;The Beekeeper
1072342;[27];2024-01-03;656;5.582;Night Swim
845783;[27];2023-12-28;376;6.6;Baghead
1063879;[27, 53];2023-12-27;402;6.711;Infested
1062807;[16, 35, 12, 28];2023-12-22;501;7.052;SPY x FAMILY CODE: White
994108;[10749, 18, 14];2023-12-22;786;7.5;All of Us Strangers
1072790;[10749, 35];2023-12-21;2400;6.908;Anyone But You
850165;[36, 18];2023-12-21;937;7.528;The Iron Claw
