ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
993710;[28, 35];2025-01-15;842;6.626;Back in Action
1156593;[10749, 18];2024-12-26;1015;7.126;Your Fault
1097549;[18];2024-12-25;397;5.761;Babygirl
426063;[27, 14];2024-12-25;1959;6.7;Nosferatu
939243;[28, 878, 35, 10751];2024-12-19;1617;7.777;Sonic the Hedgehog 3
762509;[12, 10751, 16];2024-12-18;974;7.424;Mufasa: The Lion King
539972;[28, 12, 53];2024-12-11;1110;6.607;Kraven the Hunter
1061699;[18, 10752, 36];2024-12-06;401;7.587;The Six Triple Eight
1005331;[53, 28];2024-12-05;1869;6.917;Carry-On
839033;[16, 14, 12, 10751, 28];2024-12-05;408;6.6;The Lord of the Rings: The War of the Rohirrim
1234811;[10749, 35, 18];2024-11-27;471;6.3;Our Little Secret
1241982;[16, 12, 10751, 35];2024-11-21;1356;7.206;Moana 2
402431;[18, 10749, 14];2024-11-20;1679;6.898;Wicked
1035048;[28, 878, 53];2024-11-07;475;6.358;Elevation
558449;[28, 12, 18];2024-11-05;2727;6.755;Gladiator II
1013850;[35, 18];2024-11-01;393;6.875;A Real Pain
1138194;[27, 53];2024-10-31;1054;7.2;Heretic
845781;[28, 14, 35, 12];2024-10-31;2258;7.079;Red One
1106739;[80, 18];2024-10-30;1396;6.8;Juror #2
827931;[27, 878, 53];2024-10-29;425;5.66;Time Cut
974576;[18, 9648, 53];2024-10-25;1133;7.1;Conclave
1063877;[27, 53];2024-10-24;720;6.4;Don't Move
1091181;[12, 35, 14, 28];2024-10-22;394;5.6;Family Pack
912649;[28, 878, 12];2024-10-22;2727;6.776;Venom: The Last Dance
1100782;[27, 9648];2024-10-16;1283;6.6;Smile 2
959604;[10749, 80, 18];2024-10-16;539;7.347;Beating Hearts
1064213;[18, 35, 10749];2024-10-14;967;7.1;Anora
1100099;[10749, 18, 35];2024-10-10;616;7.416;We Live in Time
976734;[28, 53, 80];2024-10-10;364;6.3;Canary Black
1182047;[36, 18];2024-10-09;445;6.9;The Apprentice
1034541;[27, 53];2024-10-09;1445;6.9;Terrifier 3
1118031;[18, 28, 27];2024-10-04;909;6.807;Apocalypse Z: The Beginning of the End
835113;[80, 18, 53];2024-10-03;658;6.441;Woman of the Hour
748230;[27];2024-10-03;448;6.147;Salem's Lot
889737;[18, 80, 53];2024-10-01;2138;5.5;Joker: Folie à Deux
1125510;[878, 27, 53];2024-09-27;1085;5.56;The Platform 2
592831;[878, 18];2024-09-25;657;5.275;Megalopolis
877817;[35, 28, 80];2024-09-20;964;6.5;Wolfs
1184918;[16, 878, 10751];2024-09-12;4256;8.35;The Wild Robot
748167;[878, 12, 28];2024-09-12;711;5.8;Uglies
1114513;[27, 53];2024-09-11;1267;7.257;Speak No Evil
698687;[16, 878, 12, 10751];2024-09-11;1062;8.103;Transformers One
933260;[27, 878, 35];2024-09-07;3728;7.138;The Substance
917496;[35, 14, 27];2024-09-04;2280;7.077;Beetlejuice Beetlejuice
1087822;[14, 27, 28];2024-08-29;352;5.2;Hellboy: The Crooked Man
823219;[16, 14, 12];2024-08-29;1073;8.352;Flow
646097;[80, 28, 53, 18];2024-08-27;1186;6.978;Rebel Ridge
1029281;[80, 27, 53];2024-08-22;369;6.959;Strange Darling
970347;[28, 53, 80];2024-08-22;364;6.4;The Killer
974950;[18, 53];2024-08-21;1163;7.126;Emilia Pérez
957452;[28, 14, 27];2024-08-21;933;5.9;The Crow
840705;[9648, 53];2024-08-21;1222;6.693;Blink Twice
930600;[27, 53];2024-08-16;458;6.095;The Deliverance
1064028;[878, 53];2024-08-15;601;6.7;Subservience
704239;[28, 35];2024-08-15;930;6.175;The Union
1094138;[35, 28];2024-08-13;635;6.4;Jackpot!
945961;[27, 878];2024-08-13;3250;7.226;Alien: Romulus
1079091;[18, 10749];2024-08-07;1394;7.107;It Ends with Us
365177;[28, 878, 35];2024-08-07;1001;5.7;Borderlands
1059064;[80, 35, 28];2024-08-02;439;6.2;The Instigators
1032823;[80, 27, 9648, 53];2024-07-31;1899;6.404;Trap
533535;[28, 35, 878];2024-07-24;6636;7.63;Deadpool & Wolverine
1216191;[27, 9648];2024-07-19;372;6.675;Oddity
1048241;[28, 35];2024-07-18;363;6.7;My Spy The Eternal City
974262;[14, 12, 10751, 35];2024-07-11;392;6.872;Descendants: The Rise of Red
1226578;[80, 27, 53];2024-07-10;1757;6.6;Longlegs
956842;[10749, 35];2024-07-10;786;6.875;Fly Me to the Moon
718821;[28, 53];2024-07-10;2183;6.891;Twisters
1023922;[27, 9648, 53];2024-07-04;965;6.336;MaXXXine
1084736;[28, 12, 18];2024-06-28;1378;8.1;The Count of Monte Cristo
987686;[10749, 35];2024-06-27;594;5.78;A Family Affair
932086;[37, 18];2024-06-26;447;6.952;Horizon: An American Saga - Chapter 1
762441;[27, 878, 53];2024-06-26;2496;6.763;A Quiet Place: Day One
704673;[28];2024-06-20;507;5.737;Trigger Warning
519182;[16, 10751, 35, 878];2024-06-20;2512;7.1;Despicable Me 4
280180;[28, 35, 80];2024-06-20;1175;6.7;Beverly Hills Cop: Axel F
1008409;[80, 18];2024-06-19;792;6.734;The Bikeriders
1022789;[16, 12, 35, 10751];2024-06-11;5494;7.563;Inside Out 2
1086747;[14, 27, 9648];2024-06-06;1158;6.5;The Watchers
573435;[28, 35, 80, 53, 12];2024-06-05;2714;7.396;Bad Boys: Ride or Die
1001311;[28, 27];2024-06-04;1239;5.954;Under Paris
1029955;[18, 35];2024-05-30;901;6.573;Kinds of Kindness
614933;[878, 28];2024-05-23;1320;6.766;Atlas
786892;[28, 878, 12];2024-05-22;3860;7.502;Furiosa: A Mad Max Saga
974635;[35, 10749, 80];2024-05-16;1157;6.835;Hit Man
1010600;[27, 53];2024-05-15;459;5.782;The Strangers: Chapter 1
